id;name;introduction;rank;address;tel;type;city;url
1;北京协和医院(北京平台);"　　北京协和医院是集医疗、教学、科研于一体的大型三级甲等综合医院，是国家卫生计生委指定的全国疑难重症诊治指导中心，也是最早承担高干保健和外宾医疗任务的医院之一，以学科齐全、技术力量雄厚、特色专科突出、多学科综合优势强大享誉海内外。在2010-2014年复旦大学医院管理研究所公布的“中国最佳医院排行榜”中连续五年名列榜首。       　　医院建成于1921年，由洛克菲勒基金会创办。建院之初，就志在“建成亚洲最好的医学中心”。90余年来，医院形成了“严谨、求精、勤奋、奉献”的协和精神和兼容并蓄的特色文化风格，创立了“三基”、“三严”的现代医学教育理念，形成了以“教授、病案、图书馆”著称的协和“三宝”，培养造就了张孝骞、林巧稚等一代医学大师和多位中国现代医学的领军人物，并向全国输送了大批的医学管理人才，创建了当今知名的10余家大型综合及专科医院。2011年在总结90年发展经验的基础上，创新性提出了“待病人如亲人，提高病人满意度；待同事如家人，提高员工幸福感”新办院理念。       　　目前，医院共有2个院区、总建筑面积53万平方米，在职职工4000余名、两院院士5人、临床和医技科室53个、国家级重点学科20个、国家临床重点专科29个、博士点16个、硕士点26个、国家级继续医学教育基地6个、二级学科住院医师培养基地15个、三级学科专科医师培养基地15个。开放住院床位2000余张，单日最高门诊量约1.5万人次、年出院病人约8万人次。被评为“全国文明单位”、“全国创先争优先进基层党组织”、“全国卫生系统先进集体”、“首都卫生系统文明单位”、“最受欢迎三甲医院”，荣获全国五一劳动奖章。同时，医院还承担着支援老少边穷地区、国家重要活动和突发事件主力医疗队的重任，在2008年北京奥运工作中荣获“特别贡献奖”。       　　90多年来，协和人以执着的医志、高尚的医德、精湛的医术和严谨的学风书写了辉煌的历史，今天的协和人正为打造“国际知名、国内一流”医院的目标而继续努力。   
                            ";1;"[东院]北京市东城区帅府园一号  [西院]北京市西城区大木仓胡同41号";010-69156114;3a;bj;http://www.guahao.com/hospital/17634310-b567-4d21-8a02-20dc15e90da5000
2;北京儿童医院(北京平台);null;1;北京市西城区南礼士路56号;010-59616161;3a;bj;http://www.guahao.com/hospital/24b24d3b-5952-4332-8af1-ab23900f9ba9000
3;中国人民解放军总医院301医院;"解放军总医院是全军规模最大的综合性医院，集医疗、保健、教学、科研于一体，是国家重要保健基地之一，负责中央、军委和总部的医疗保健工作，承担全军各军区、军兵种疑难病的诊治，医院同时也收治来自全国的地方病人。 全院共展开床位4500余张，其中院本部3500余张，三0四临床部900余张。共设临床、医技科室130余个，其中耳鼻咽喉科、骨科、心血管内外科、神经内外科、眼科、内分泌科、肾病科、老年医学、医学影像、护理等13个全军医学专科中心和聋病、老年心血管病、内分泌、肾病研究室等8个全军重点实验室，13个全军医学研究所、一个全军医学专病中心。耳鼻咽喉-头颈外科、骨科、老年医学等6个国家级重点学科。 医院拥有先进的医疗、科研仪器，有正电子发射计算机断层成像仪(PET)、含3.0T在内的8台不同类型的核磁共振、含64排在内的9台螺旋CT、3台体外震波碎石机、含3100在内的6台数字减影血管造影机、15台彩色多普勒超声检查仪、治疗用直线加速器、X刀、电镜、ECT、激光聚焦显微镜、流式细胞仪、准分子激光仪等国际一流的医疗设备16400余件，价值百万以上医疗设备170余台，总价值28亿元人民币以上。雄厚的技术力量和先进的诊疗手段，促进了医院技术水平和医疗质量的不断提高，临床初诊与确诊符合率达99.36%，危重病人抢救成功率达90.48%，治疗有效率达97.93%。年门诊量250万人次，收容病人8万多人次，开展各种手术近4万例。同时，医院每年开展250多项新业务、新技术，形成了明显的技术特色和优势，使许多疑难病得到有效诊治，许多复杂手术和重大抢救获得成功，一些诊断治疗技术达到国际先进水平。 医院位于北京市复兴路28号院，占地面积118.8万平方米，建筑面积110.07万平方米。";1;北京市海淀区复兴路28号;010-68182255;3a;bj;http://www.guahao.com/hospital/5cee04f9-4cc8-4499-a35b-6f37f2dd8a74000
4;北京同仁医院(北京平台);"　　北京同仁医院是一所以眼科、耳鼻咽喉科和心血管疾病诊疗为重点的百年老院 是一家大型综合性三甲医院。  　　北京同仁医院眼科的特长是在眼底病、眼外伤、青光眼、角膜移植、眼部整形、激光诊疗；  　　北京同仁医院耳鼻咽喉科在人工耳蜗植入、全耳再造、听力康复、头颈肿瘤治疗、气管异物取出、鼻内窥镜技术、睡眠呼吸暂停综合症治疗等方面处于国内领先地位，某些领域达到国际先进水平。  　　北京同仁医院设有知名专家汇集的北京市眼科会诊中心、北京市耳鼻咽喉科会诊中心、北京市糖尿病综合会诊中心、北京泌尿外科会诊中心，还建立了国际眼病诊疗中心、白内障防治中心、屈光矫治中心、验光配镜及隐形眼镜中心、鼻眼相关疾病诊疗中心、睡眠呼吸监测中心、临床听力学中心以及人工耳蜗植入中心等全方位医疗服务体系。  北京同仁医院一院三址的布局：  同仁医院（崇文老院，百年老院）  同仁医院东院（崇文老院对面，2004年2月开诊）  同仁医院南院（北京大兴亦庄，2004年5月开诊）  　　同仁医院本院及东院均位于北京的中心地区---东城区东交民巷1号，交通方便，就在环线地铁，崇文门地铁站出口处，乘坐地铁去非常方便，快捷。公交车有特2路，9路，111路，807路，39路，110路，116路，106路，41支路，812路，813路，8路，703路，104路，108路，48路，43路等均在崇文门站下车即到。  　　同仁东院可以说是特需医院，设施，环境，服务都要好很多，患者相对较少，费用比老院贵。同仁南院位于北京南五环亦庄开发区，位置相对比较偏，交通不是很便利，主要服务于附近的社区居民，大夫由同仁医院的各科大夫轮流过去上班。  同仁医院在眼科，耳鼻喉科上非常专长，这二个专业上分的很细，眼科共分15个专业，特色专科有：　   l、复杂的眼底病、眼外伤、青光眼。  2．白内障、近视眼治疗中心。  3、眼病激光治疗中心。  4、国际眼病中心  5．角膜移植、眼部整形等。  耳鼻咽喉科共分五个三级专业，鼻科、耳神经外科、耳显微外科，喉科，头颈外科等，特色专科为：　   l、听力中心、小耳畸形再造、电子耳蜗。  2、鼾症治疗。  3．内窥镜治疗等。  　　北京同仁医院眼科的挂号情况总体来讲是“难”+“乱”，眼科的医生出诊时间表在三楼眼科门诊的第四诊区最尽头的医生办公室的门口的墙上有，是每月更新的，这是唯一一个可以大至了解专家出诊规律的地方，如果要准确确定某专家第二天是否出诊，可以前一天下午4:00以后来这里的白板上查看（第二天专家的门诊排班表已经出来了），也可以看到第二天哪些原本出诊的专家临时停诊的通知。  眼科挂号有四种：  1、眼科普通号（4、5、6挂号窗口）：  每天早上6：30开始挂，早去直接在4、5、6窗口排队即可。去的越早越好，如果你6：30去排队，基本没戏。  2、眼科专家号（1、2号挂号窗口）：   如果当天要来挂当天的眼科专家号，能挂上的可能性极小。6点钟前在传达室窗口发号，6点开始叫号，?号排队，6：30开始挂号。一般5：30到医院时，经常会发现只能领到300名以后的号了，也就意味着不可能挂上了。   更可行的方法是排队领第二天的号：提前一天起个大早，早上6：00前（建议更早，5：30时可能已经有60-70人了）到医院门卫办公室侧面窗口先排队，领取第二天排队的序号。然后，第二天6点前到达，再去1、2挂号窗口按你领取的顺序号排队挂号。  3、眼科专家特需号：  挂号费100-300元，在同仁东区挂号，7：30挂号，也要早去才能排上，如果没挂上，找护士加号（10点前，需病人在场），加上的可能性很大。  4、眼科会诊号：  在门诊楼三楼的会诊中心，提前一天的上午10点就可以挂第二天的，相对比较好挂。挂号费一般也要300元。  5、夜间门诊：  同仁医院为了方便白天上班 ，上学不方便请假的患者，开设了夜间门诊，时间：周一至周五，17：00-20：00。晚间门诊的挂号费是100元，晚间门诊的诊室在国际眼病中心，挂号、检查、缴费 不用满楼跑，环境好，方便，有专家出诊。  6、周末门诊：  北京同仁医院周六有眼科大夫出诊，至于是否有专家出诊，并没有明确的排班表，需要在周五下午打电话（咨询热线）到医院询问。  最后，千万要记住：挂号一定要带病人的身份证！  北京同仁医院患友推荐的好大夫如下：  眼底专业：  魏文斌教授：手术技术非常精湛，患友评价极高，医术好评度94%。  段安丽大夫：副教授，患友医术推荐度96%。擅长网脱，玻璃体切割手术。  眼肌组：  刘刚：擅长斜视，弱视方面的矫治。医术推荐度90%。  吴晓：医术推荐度为95%，可能是病人太多，患友反映在耐心上不够。  卢炜：特别擅长眼外肌手术，有5000多例手术经验。在治疗斜视，弱视上医术推荐度92%。患友反映态度好，耐心。  青光眼：  推荐张舒心大夫，医术推荐度94%，患友评价极高，是一位知心的好大夫。  眼科综合：  推荐朱建波大夫，实在是一位难得的好大夫，患友推荐白内障找朱建波大夫看，医术好评度97%，态度好评度也是97%。
                            ";1;北京市东城区东交民巷1号(西区)；北京市东城区崇文门内大街8号(东区);010-58266699;3a;bj;http://www.guahao.com/hospital/c15ed5e1-28fc-4183-8e9c-24b60ae4ba41000
5;北京大学第三医院(北京平台);"　　北京大学第三医院（简称“北医三院”）始建于1958年，是卫生部部管的集医疗、教学、科研和预防保健为一体的现代化综合性三级甲等医院。现有在职职工2631人，开放床位1738张。医院设有36个临床科室、10个医技科室。拥有28个博士点、1个临床博士后流动站。在岗博士生导师55人，中科院院士1人、国家自然科学基金杰出青年基金获得者1人、科技部“973”首席科学家1人、教育部“长江学者特聘教授”2人，1人入选国家级“新世纪百千万人才工程”，卫生部突出贡献专家6人。

　　北医三院拥有国内最强的脊柱外科和中国大陆成立最早、亚洲最大的生殖医学中心之一，中国大陆首例试管婴儿在此诞生。运动医学研究所是中国最早成立、国内唯一的中国奥委会指定运动员伤病防治中心。眼科在眼外伤及眼科疑难重症的诊治方面处于国内领先水平；消化科在溃疡病发病机制研究及治疗、早期胃癌的诊疗等领域居国内前列；心血管内科在冠心病介入治疗、急性心肌梗死“绿色通道”及临床与基础协调发展等方面居国内一流水平；成形科、职业病科是国内率先成立的临床特色学科。

　　在几代人的共同努力下，北医三院已发展成为国内高水平的大型综合性医院。骨科、药剂科（临床药学）、病理科、专科护理、检验科、消化科、妇科、产科、职业病科、耳鼻喉科、心血管分子生物学与调节肽重点实验室、呼吸内科、神经内科、普通外科、泌尿外科、眼科、麻醉科、康复医学科、成形科（整形外科）、运动医学科等二十个学科为国家临床重点专科建设项目。妇产科成为国家妇产疾病临床医学研究中心。

　　十余年来，北医三院门、急诊量始终居北京市各大医院前列。2014年，年服务门急诊患者达400.75万余人次，年服务出院患者8.66万余人次，年为患者手术近5.31万例次，平均住院日为6.18天，各项主要管理指标达先进水平，多次受到卫生部和北京市卫生局的表彰。在北医三院住院患者中，三分之一以上是来自全国各地的疑难杂症患者。

　　北医三院拥有16个北京市专科医师培训基地、11个卫生部亚专科医师培训基地、5个北京市住院医师规范化培训技能考核中心和6个卫生部内镜诊疗技术培训基地。作为北京大学临床医学院，每年1000余名医学生、300余名博士生、硕士生在此进入临床学习。同时，还承担着千余名进修医生和200多名北京市住院医师规范化培训任务。每年40个左右的国家级继续教育项目吸引了全国各地3000余名学员。

　　北医三院拥有骨科、运动医学研究所、妇产科3个教育部创新团队；拥有辅助生殖、心血管研究所和眼科3个教育部重点实验室，心血管内科卫生部重点实验室；目前，57人次任主要系列学术兼职（二级分会主委或副主委），涉及22个科室；18人次在中国科技论文统计源期刊收录杂志任主编或副主编，涉及10个科室（2008年以来）。

　　北医三院以强烈的社会责任感积极投身公立医院改革。近年来不断提高管理水平，参与多个国家级重大项目和课题的研究，取得成果被政府相关管理部门所采纳。在临床路径、优质服务护理工程、对口支援、医联体建设等方面发挥了国家级医院的作用。同时，医院还承担着国家重大活动的医疗保障工作，承担着重大突发事件的医疗救援任务。近年来，出色完成了北京奥运会、建国六十周年庆典、抗震救灾、健康快车、埃博拉出血热病人救援、非洲“光明行”、历次全国“两会”等各项医疗保障任务。

　　医院连续多年荣获多项荣誉。荣获全国文明单位、全国卫生文化建设先进单位、全国医药卫生系统先进集体，全国医药卫生系统创先争优活动先进集体；被中华全国总工会授予“模范职工之家”称号。被卫生部评为2010年全国优质护理服务考核优秀医院，荣获卫生部全国公立医院“2011年度医院改革创新奖”。继2010年“建立科学的医院预算管理体系，提高医院管理水平”项目荣获中国医院协会首届“医院创新科技奖”三等奖后，2013年，“住院医师临床培训与考核过程的精致化管理”项目荣获中国医院协会医院科技创新奖三等奖，移动护理项目获中国医院协会“英特尔杯中国移动好应用—最佳效果奖”，“诊断相关组与定额支付在医疗保险支付的应用”项目获北京医院协会颁发的2013年度“优秀医院管理科研成果”奖。2014年，乔杰教授团队研究项目“难治性不孕不育诊治问题的临床研究”获教育部科技进步一等奖；敖英芳教授团队研究项目“关节软骨损伤修复的基础与临床研究”获科技进步二等奖；周丽雅教授团队研究项目“胃癌诊疗体系的创新及其关键技术的应用”获科技进步二等奖。神经内科、心血管内科、眼科、运动医学研究所、药剂科等荣获“国家级青年文明号”荣誉称号。

　　北医三院新门急诊楼、运动医学楼的正式投入使用，彻底改善了医院门急诊和住院患者的就医环境。标志着我院历经10余年的整体改扩建工程取得决定性成果。

　　拥有50多年历史的北医三院，积淀历久弥新的医院文化，充满朝气与活力。全体北医三院人将继续秉承“团结、奉献、求实、创新”的院训精神，以精湛的医术和高度的责任感承载生命的重托，为建设“国家级医疗中心、高水平的疑难重症诊治及医疗指导中心、高水平的国家临床医学研究和高水平的临床医生培养基地”而努力奋斗！
                            ";1;北京市海淀区花园北路49号；[第二门诊部]北京海淀区西三旗育新小区内23号楼；[中央党校院区]北京市海淀区大有庄100号(北五环肖家河桥西侧辅路);010-82266699;3a;bj;http://www.guahao.com/hospital/33191cd8-9c09-4fd9-8a27-064f2fcf671d000
6;北京积水潭医院回龙观院区(北京平台);null;1;北京市昌平区回南北路68号;010-58516688;3a;bj;http://www.guahao.com/hospital/2ed3c8c6-5438-4f56-b67e-d2826ac3d3fd000
7;北京大学第一医院(北京平台);null;1;北京市西城区西什库大街八号;010-83572211;3a;bj;http://www.guahao.com/hospital/c9f4ea34-5802-4f6d-b3f0-c3865eabad18000
8;北京肿瘤医院（北京平台）;"北京大学肿瘤医院（北京肿瘤医院、北京大学临床肿瘤学院、北京市肿瘤防治研究所）始建于1976年，是三级甲等肿瘤专科医院，是集医、教、研于一体，预防、治疗、康复相结合的肿瘤防治研究中心。      院（所）是国家肿瘤学重点学科；教育部、北京市恶性肿瘤转化研究重点实验室；是北京抗癌协会、北京癌症康复会的挂靠和依托单位；近20位专家担任中国抗癌协会、北京抗癌协会、中华医学会肿瘤分会的主要领导以及各专业委员会主任委员或副主任委员。      全院现有在编职工1089人，其中专业技术人员1035人，占95％，高级技术职称人员215人，博士生导师32人，突贡专家3名；享受政府特殊津贴者26名；国家杰出青年3名；国家百千万人才工程人选2名；新世纪百千万人才工程3名；北京市跨世纪优秀人才5名；北京市科技新星人选17名。入选北京市医学领军人才1名，学科带头人9名。学科带头人及业务骨干中90％以上为留学（研修）归国人员。      医院于1997年通过三级甲等医院评审。编制床位790张，现开放病床704张，28个临床科室，26个病区，14个医技科室。2012年住院人数3.2万余人次，年门诊量39万余人次。患者来自全国各地、港澳台及海外。      医院致力于乳腺癌、胃癌、肺癌、结直肠癌、肝癌、食管癌、恶性淋巴瘤、妇科肿瘤、头颈部肿瘤、骨肿瘤以及恶性黑色素瘤、胃肠肿瘤微创外科、造血干细胞移植病区等各种肿瘤的诊断和综合治疗。倡导多学科协作，整合各科室医疗资源，自2002年开始，陆续建立以单病种为主的9个多学科协作组，尤其在消化系统肿瘤、肺癌、乳腺癌及疼痛与症状控制专业方面，积累了丰富的多学科协作诊疗经验，为患者提供规范的个体化综合治疗。                                                                                                                                                                                                                                                                                                                                                                                                    院（所）于2010年被批准为教育部“恶性肿瘤发病机制及转化研究”重点实验室。研究所设有8个研究室，1个中心实验室，1个临床实验室。建所以来，围绕我国常见恶性肿瘤特别是胃癌、乳腺癌癌变机理的研究、肿瘤预防与控制研究、肿瘤易感性和恶性生物学行为的研究及肿瘤生物治疗研究等主要科研方向，开展了大量基础和应用研究工作，在肿瘤学基础理论研究、常见主要肿瘤的临床诊断与治疗，胃癌、食管癌高发区现场的预防干预研究等领域均有创新与领先的成绩，在国内外颇具影响。主持和承担了“国家科技攻关”、“863”、“973”、“985”、“国家自然科学基金”等项目及北京市和其它部委的重点科研项目，已获市部级以上科研成果100余项，发表论文2800多篇。      我院为国家药物临床试验基地，2010年-2013年共承担144项药物类或医疗器械类临床试验，其中27项为国际多中心研究。      我院是全国肿瘤学博士学位授权点和博士后流动站。医学教育涵盖本科生、硕士生、博士生、博士后以及进修生、职工的继续教育。每年定期举办全国临床肿瘤医师进修班和国家继续教育项目全国性学习班。      院所在国内外具有日益广泛的影响，与许多国际知名肿瘤研究机构建立了密切的合作关系，每年不断有国内外专家学者来院参观、考察、讲学，进行科研协作与学术交流。院所也不断有科研与医技专业人员出国访问、进修、短期工作或参加国际学术会议。      北京大学肿瘤医院愿以优秀的肿瘤学专业人才、先进的医疗设备、精湛的医疗技术、科学的医院管理、舒适的就医环境和人性化的关怀照顾，让每一位肿瘤患者在就医中获益，同时提升医院的品质与社会影响力，把医院建设成为患者首选的国际化肿瘤中心。    
                            ";1;北京市海淀区阜成路52号;010-88121122;3a;bj;http://www.guahao.com/hospital/444324d1-708d-4169-8165-b694fd4550de000
9;北京大学人民医院(北京平台);"北京大学人民医院创建于1918年1月27日，当时定名为“北京中央医院”，是第一家由中国人自己筹资、建设、管理的现代综合性医院，中国现代医学先驱伍连德博士为首任院长。在90年的发展历程中，医院几经更名，2000年定名为“北京大学人民医院”。 在医院的悠久历史中，伍连德、钟惠澜、林巧稚、关颂韬、谢元甫、孟继懋、谢志光、司徒展、吴阶平、林斯馨、冯传汉、黄萃庭、陆道培等老一辈医学名家为医院的发展付出了智慧与心血，他们是医院骄傲的旗帜。在一代代勤恳敬业、精益求精、热忱负责的“人民人”共同努力下，医院已经从创建之初仅有床位150张、日均门诊量200人次的较小规模逐渐发展为拥有床位1448张、年均门(急)诊量150余万人次，集医疗、教学、科研为一体的现代化的大型综合性医院。 目前，医院有正式职工2396人，其中中国工程院院士1名、高级职称专家442名。医院设有38个临床科室、13个医技科室，其中血液内科、心血管内科、骨科、妇产科、眼科、泌尿外科、儿科、皮肤科、风湿免疫科、肾内科等10个医科为国家级重点学科。医院还附设血液病研究所、肝病研究所、关节病研究所、应用碎石研究所等4个北京大学校级研究所。 北京大学人民医院的90年历史，是中国90年医学进步历程的见证。亚洲第一例、世界第四例异体同基因骨髓移植在这里获得成功中国第一支乙肝疫苗在这里研发，使中国的乙肝预防事业进入了崭新的历史时期中国第一台体外震波碎石设备在这里诞生，填补了我国泌尿系结石微创治疗领域的空白。 医院承担着繁重的医疗任务，医疗水平处于全国先进行列。近10年门诊量由每年80余万人次增长为140余万人次，急诊量由每年10万人次增至13.4万人次，出院人数由每年1.9万人次增至近3.6万人次。在造血干细胞移植、肝移植、肾移植、白血病、胃肠道肿瘤、恶性骨肿瘤保肢化疗、妇科恶性肿瘤、脊柱功能重建、骨与关节损伤、胸部微创手术、视网膜玻璃体手术、血液透析、快速心律失常、心血管疾病、自身免疫性疾病、内分泌系统疾病、糖尿病眼底病、突聋等方面的诊断治疗均有独到之处。 医院从1942年开始承担临床医学教学任务，涌现出一大批德高望重的教授，目前医院拥有国家级教学名师1名、桃李奖获得者8名，北京市级教学名师1名，为我国医疗事业培养和输送了大量高质量的医学人才。近年来医院获得国家级教学成果一等奖和二等奖各1项，拥有《外科学》、《麻醉学》、《眼科学》3门国家级教学精品课程，获批成为国家级“人才培养模式创新试验区”，其临床医学教育水平已跻身国内第一方阵。 医院重视学科建设，在“医院主导、优化组合、拓展资源”的原则指导下，获各项科研基金资助项目数及资助金额逐年上升，2007年度医院负责、参加科研项目62项，获科研基金1.1亿元。近年来医院获国家科技进步一等奖2项、国家科技进步二等奖4项、国家和省部级科研成果奖94项。 医院落实科学发展观，提高自身管理水平，积极参与新时期医院及医疗卫生体制改革模式的探索，创新性地提出并实践“整合型医疗卫生服务共同体”模式，建立起各医疗机构间资源整合、功能互补的医疗卫生服务体系通过启动“医疗质量持续改进工程”、推行“文明服务缺陷管理”，把“以病人为中心”的服务理念落实到医疗服务的各个环节和医院工作的各个方面医院在国内率先启动“构建大型公立医院资源规划(HRP)系统”项目，开创了国内大型综合医院财务、业务一体化运营管理的先河同时在后勤管理社会化、医院建设信息化等方面进行了多项有益的探索，充分保障了医院的高速发展。 2008年，北京大学人民医院迎来90年华诞。建院伊始的“本仁恕博爱之怀，导聪明精微之智，敦廉洁醇良之行”的院训精神一脉相承至今，全院医护员工将一如既往地为广大人民群众提供优质的医疗健康服务，全力实现建设医、教、研、运营管理与国际接轨的大学医院的战略目标，力争成为面向全国的疑难急重症诊疗中心、临床医学教育创新示范基地、临床医学科学研发基地、医院和医疗卫生体制改革模式的探索实验及示范基地。";1;北京市西城区西直门南大街11号;010-88326666;3a;bj;http://www.guahao.com/hospital/522c96ab-97a5-474c-9959-0c18a5ef5a05000
10;北京友谊医院(北京平台);"首都医科大学附属北京友谊医院原名为北京苏联红十字医院，始建于1952年。是新中国成立后，斯大林元帅和毛泽东主席亲自商定，由前苏联政府和苏联红十字会援助，党和政府在首都建立的第一所大医院。1954年，医院从甘水桥旧址迁入现址。毛泽东主席、刘少奇副主席、周恩来总理、朱德委员长亲笔为医院题词。1957年3月，前苏联政府将医院正式移交我国 周总理在百忙之中来院参加了移交仪式。1970年，周总理亲自为医院定名为“北京友谊医院”。  　　建院之初，我国政府从全国各地抽调了一批优秀的医疗护理骨干，并选派了高素质的领导干部，在苏联政府选派的120多位经验丰富的医学护理专家的指导帮助下，各专业学科相继建立，并以严谨的医疗作风和严格的医院管理而著称为医院未来的全面发展打下了坚实的基础。经过几代友谊人的不懈努力，医院建设得到了迅速发展，综合实力不断增强，发展成为一所科室齐全、各具特色、设备先进、服务优良、中西医结合、具有三级甲等功能，在首都医疗卫生系统有重要影响的大型综合性医院，为祖国的医疗卫生事业和广大人民群众的健康做出了积极贡献。  　　医院占地面积94，000余平方米。正在建设的新门急诊大楼52000平方米，建成后医院业务用房建筑面积将达到17万平方米。全院现有职工2110人，其中具有正副主任医师、正副教授、研究员及相应职称的高级技术人员近400人。医院拥有大量与世界接轨的先进医疗设备，现有病床960张，设有临床及医技科室42个。日门诊量4000人次左右，年出院20000多人次。目前承担着北京市40多万人的医疗保险定点任务和为来自全国各地的患者、5000多名司局级以上干部和外宾的医疗保健任务。  　　医院设有北京市临床医学研究所、北京热带医学研究所和北京市卫生局泌尿外科研究所，拥有北京市重点学科4个，北京市重点扶植学科5个和一批学科带头人和技术骨干。已初步形成了“院有优势、科有特色、人有专长”的模式。以综合发展的实力为基础，在感染急救、器官移植领域达到国际先进水平，消化疾病、慢性肝病、心血管疾病的诊断治疗处于国内领先水平，医院承担着九五攻关课题、国家科委项目和市级课题多项，并担负着世界卫生组织在寄生虫、麻风病方面课题的研究工作。近20年来，先后获国家级、部级、市级、局级科研成果奖400余项。许多成果开发后应用于临床，取得良好效益。  　　医院是首都医科大学临床医学院，是培养高层次医学人才的临床教学基地。承担着七年制研究生、五年制本科生教育。同时，承担着国家级和市级继续教育项目多项。自70年代开始招收硕士、博士研究生、并设有博士后流动站。医院有研究生导师近90名，有多名教授在国际医学专业学会任职，有20余名教授在中华医学会各专业学会、北京分会以及国家级杂志担任副主委以上职务。  　　医院积极开展多渠道、多领域的国际交流合作。先后与23个国家和地区的医疗机构建立了友好合作关系，派出各专业人员出国深造，请外国专家来院讲学，不断引进新知识、新技术，促进了医院学术水平的提高。  　　医院1991年通过卫生部三级甲等医院评审，1989年医院党委被评为全国先进基层党组织。连续17年被市政府授予“花园式医院”，连续8年被评为物价计量信得过单位。连续17年被评为首都文明单位。  　　几代友谊人实践着“仁爱博精”的友谊精神，鞭策着新世纪的友谊人以更高的起点和崭新的精神风貌，团结协作、奋力拼搏、开拓创新，与时俱进，以更加高超的医术，无私的爱心，努力攀登医学科学高峰，为建成具有一流队伍、一流管理、一流技术、一流服务的现代化综合医院，开创北京友谊医院更加美好的未来，在充满挑战和希望的21世纪再创辉煌而努力
                            ";1;北京市西城区永安路95号;010-63014411;3a;bj;http://www.guahao.com/hospital/54e68522-c49a-4ca9-bba2-e8faf76a71b2000
